EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
59,CC200510,2005,11,22,Propia,nov,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2005,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,CC200602,2006,2,15,Propia,feb,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
61,PD200602,2006,3,10,Oportunista,mar,PD,Temp,Sal,NA,OD,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
62,CC200604,2006,3,22,Propia,mar,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2006,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,CC200607,2006,9,1,Propia,sep,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
64,PD200603,2006,9,5,Oportunista,sep,PD,Temp,Sal,NA,OD,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
65,CC200609,2006,10,30,Propia,oct,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
66,CC200612,2006,11,29,Propia,nov,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
67,EH200610,2006,12,27,Propia,dic,EH,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
68,OB200701,2007,1,15,Propia,ene,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2007,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,CC200701,2007,3,1,Propia,mar,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2007,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,CC200704,2007,7,2,Propia,jul,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2007,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,CC200706,2007,10,17,Propia,oct,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
72,CC200707,2007,10,23,Oportunista,oct,CC,Temp,Sal,NA,NA,NA,NA,NA,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2007,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
